instance,run,pair,c_ab,c_ba
sdmk01,1,EDA-TS_vs_no_m,1.0,0.0
sdmk01,1,EDA-TS_vs_no_n,0.75,0.0
sdmk01,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk01,2,EDA-TS_vs_no_m,0.0,0.0
sdmk01,2,EDA-TS_vs_no_n,0.5,0.0
sdmk01,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk02,1,EDA-TS_vs_no_m,1.0,0.0
sdmk02,1,EDA-TS_vs_no_n,1.0,0.0
sdmk02,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk02,2,EDA-TS_vs_no_m,1.0,0.0
sdmk02,2,EDA-TS_vs_no_n,0.6666666666666666,0.0
sdmk02,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk03,1,EDA-TS_vs_no_m,1.0,0.0
sdmk03,1,EDA-TS_vs_no_n,0.6666666666666666,0.4
sdmk03,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk03,2,EDA-TS_vs_no_m,1.0,0.0
sdmk03,2,EDA-TS_vs_no_n,0.25,0.5
sdmk03,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk04,1,EDA-TS_vs_no_m,1.0,0.0
sdmk04,1,EDA-TS_vs_no_n,0.16666666666666666,0.3333333333333333
sdmk04,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk04,2,EDA-TS_vs_no_m,1.0,0.0
sdmk04,2,EDA-TS_vs_no_n,0.25,0.6
sdmk04,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk05,1,EDA-TS_vs_no_m,0.8333333333333334,0.0
sdmk05,1,EDA-TS_vs_no_n,0.0,0.7777777777777778
sdmk05,1,EDA-TS_vs_no_mn,0.0,0.1111111111111111
sdmk05,2,EDA-TS_vs_no_m,1.0,0.0
sdmk05,2,EDA-TS_vs_no_n,0.25,0.6363636363636364
sdmk05,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk06,1,EDA-TS_vs_no_m,1.0,0.0
sdmk06,1,EDA-TS_vs_no_n,0.5,0.42857142857142855
sdmk06,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk06,2,EDA-TS_vs_no_m,1.0,0.0
sdmk06,2,EDA-TS_vs_no_n,0.0,0.5
sdmk06,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk07,1,EDA-TS_vs_no_m,1.0,0.0
sdmk07,1,EDA-TS_vs_no_n,0.5,0.6923076923076923
sdmk07,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk07,2,EDA-TS_vs_no_m,1.0,0.0
sdmk07,2,EDA-TS_vs_no_n,0.5,0.3333333333333333
sdmk07,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk08,1,EDA-TS_vs_no_m,1.0,0.0
sdmk08,1,EDA-TS_vs_no_n,1.0,0.0
sdmk08,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk08,2,EDA-TS_vs_no_m,0.0,0.0
sdmk08,2,EDA-TS_vs_no_n,0.4,0.0
sdmk08,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk09,1,EDA-TS_vs_no_m,1.0,0.0
sdmk09,1,EDA-TS_vs_no_n,0.625,0.0
sdmk09,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk09,2,EDA-TS_vs_no_m,1.0,0.0
sdmk09,2,EDA-TS_vs_no_n,0.4,0.45454545454545453
sdmk09,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk10,1,EDA-TS_vs_no_m,1.0,0.0
sdmk10,1,EDA-TS_vs_no_n,0.0,0.875
sdmk10,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk10,2,EDA-TS_vs_no_m,1.0,0.0
sdmk10,2,EDA-TS_vs_no_n,0.3333333333333333,0.0
sdmk10,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk11,1,EDA-TS_vs_no_m,1.0,0.0
sdmk11,1,EDA-TS_vs_no_n,0.5,0.1
sdmk11,1,EDA-TS_vs_no_mn,0.0,0.0
sdmk11,2,EDA-TS_vs_no_m,1.0,0.0
sdmk11,2,EDA-TS_vs_no_n,0.3333333333333333,0.7
sdmk11,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk12,1,EDA-TS_vs_no_m,1.0,0.0
sdmk12,1,EDA-TS_vs_no_n,0.2,0.2727272727272727
sdmk12,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk12,2,EDA-TS_vs_no_m,1.0,0.0
sdmk12,2,EDA-TS_vs_no_n,0.25,0.09090909090909091
sdmk12,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk13,1,EDA-TS_vs_no_m,1.0,0.0
sdmk13,1,EDA-TS_vs_no_n,0.42857142857142855,0.0
sdmk13,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk13,2,EDA-TS_vs_no_m,1.0,0.0
sdmk13,2,EDA-TS_vs_no_n,0.2,0.5
sdmk13,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk14,1,EDA-TS_vs_no_m,1.0,0.0
sdmk14,1,EDA-TS_vs_no_n,0.0,0.3
sdmk14,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk14,2,EDA-TS_vs_no_m,0.0,0.0
sdmk14,2,EDA-TS_vs_no_n,0.75,0.0
sdmk14,2,EDA-TS_vs_no_mn,1.0,0.0
sdmk15,1,EDA-TS_vs_no_m,1.0,0.0
sdmk15,1,EDA-TS_vs_no_n,0.0,0.5
sdmk15,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk15,2,EDA-TS_vs_no_m,1.0,0.0
sdmk15,2,EDA-TS_vs_no_n,0.6,0.1111111111111111
sdmk15,2,EDA-TS_vs_no_mn,1.0,0.0
