instance,algorithm,mean_GD,std_GD,mean_IGD,std_IGD,mean_nd_size
sdmk01,EDA-TS,0.0,0.0,10.36688246575168,2.00692499642871,2.0
sdmk01,EDA-TS_no_m,59.09533959782509,27.91040733879974,94.94675141073614,17.061518221196657,1.5
sdmk01,EDA-TS_no_mn,87.77430385372679,9.847415041199447,136.09229977247065,3.571461104185147,3.0
sdmk01,EDA-TS_no_n,2.120449627412087,1.6874369255198676,12.395472936492965,0.31166785902075844,3.0
sdmk02,EDA-TS,0.0,0.0,0.31622776601683794,0.31622776601683794,3.5
sdmk02,EDA-TS_no_m,86.49852858009461,48.00321862045292,207.3034383771972,38.17068776622655,4.0
sdmk02,EDA-TS_no_mn,71.62491451126775,29.295846484674023,179.6984676104014,3.1145256625852653,3.0
sdmk02,EDA-TS_no_n,14.072843255813158,5.6929731958288015,34.29826839596566,2.1728163996486316,3.5
sdmk03,EDA-TS,26.38173831837145,10.664179135512724,14.210003911990157,2.3372768313827565,8.5
sdmk03,EDA-TS_no_m,506.84641361824146,15.034664190678484,1703.8860190063162,180.95023064801921,8.0
sdmk03,EDA-TS_no_mn,886.1128023167248,25.95249748976994,1655.9286953958508,165.49495014388083,2.5
sdmk03,EDA-TS_no_n,25.974934909186977,19.110169800313987,45.610222612999564,17.82576874837193,3.5
sdmk04,EDA-TS,3.4230236637945377,2.293618707388043,7.469594676024332,3.8742181531933504,10.0
sdmk04,EDA-TS_no_m,64.84622183409608,47.9323222246033,147.98503088617576,45.33416197122783,4.0
sdmk04,EDA-TS_no_mn,67.81496299563038,49.58038046681991,179.55484820603004,94.60951459799192,2.5
sdmk04,EDA-TS_no_n,2.5629194371101223,1.4448854483602274,19.442942105845532,3.7673014026107277,5.0
sdmk05,EDA-TS,18.37753486707732,3.705641232991862,13.15407632906056,3.2717475640475993,10.0
sdmk05,EDA-TS_no_m,11.155346709190503,2.840366920346221,113.55274759851312,12.59735589430879,5.5
sdmk05,EDA-TS_no_mn,12.723556455994876,12.723556455994876,117.81605492967793,13.264038952353992,2.5
sdmk05,EDA-TS_no_n,3.546302402403192,2.268549272403312,21.700987478124766,9.571584435631307,5.5
sdmk06,EDA-TS,1.2474358296526968,0.7525641703473033,5.217445033516054,2.6822612750280572,4.5
sdmk06,EDA-TS_no_m,574.163191366539,69.58676008976991,1120.650502008599,80.9409899920206,3.5
sdmk06,EDA-TS_no_mn,643.0950232753218,6.903053644910415,1037.5195978422475,136.12654894070954,2.5
sdmk06,EDA-TS_no_n,23.17797985157464,23.17797985157464,19.368235114588987,18.166384689434324,3.0
sdmk07,EDA-TS,17.457480608728545,7.988598825633867,17.729319559013426,0.5745844489960117,12.5
sdmk07,EDA-TS_no_m,119.44430278243678,40.91787411030117,448.2128644761517,10.776689502108553,5.5
sdmk07,EDA-TS_no_mn,75.5546628344402,24.751119650918042,498.5513351528914,30.08356621780237,1.5
sdmk07,EDA-TS_no_n,30.542786897189522,10.317493327008647,106.8463378033783,29.04541967996341,4.0
sdmk08,EDA-TS,0.0,0.0,14.803012338510786,14.803012338510786,6.0
sdmk08,EDA-TS_no_m,53.276792946522846,53.276792946522846,435.6546914153895,26.010050749068455,2.0
sdmk08,EDA-TS_no_mn,103.77100767192366,39.875259247895734,469.6568492348761,97.83181392039461,2.5
sdmk08,EDA-TS_no_n,76.01908145665305,69.89699031064747,130.60291673231754,58.9683203052573,3.5
sdmk09,EDA-TS,3.5989553121486484,3.5989553121486484,26.12048048766612,5.863741887978199,8.5
sdmk09,EDA-TS_no_m,426.4048122872226,115.40534819336494,1361.9074052718497,184.87846478715767,2.5
sdmk09,EDA-TS_no_mn,522.0729096685538,36.52018910729035,1401.0905631845144,173.08057046020645,2.5
sdmk09,EDA-TS_no_n,34.790580610988705,24.897148446163396,64.14909478589875,11.795596676561463,6.5
sdmk10,EDA-TS,15.941880525443038,15.941880525443038,33.86713610273938,21.773559234419412,14.0
sdmk10,EDA-TS_no_m,697.3460088939389,135.3119174012608,2319.787713626494,337.31886521145157,4.0
sdmk10,EDA-TS_no_mn,670.4142268415266,15.562950256953854,2473.758675021844,157.93342306632167,5.0
sdmk10,EDA-TS_no_n,16.23610517061007,16.23610517061007,106.07301586717273,19.535794702467022,3.5
sdmk11,EDA-TS,15.833620377676533,15.133620377676534,24.857549258714755,10.080937176630542,10.0
sdmk11,EDA-TS_no_m,66.37058396460868,11.76747050026492,521.2648524146641,164.8430572574243,3.5
sdmk11,EDA-TS_no_mn,82.7061686532716,9.59666174753464,544.5516484086154,87.79379674545336,2.5
sdmk11,EDA-TS_no_n,33.882368833695985,20.54903550036265,114.55794036916122,64.55441114056497,4.5
sdmk12,EDA-TS,3.9053910421839593,1.587654899641784,14.437224120459161,9.891401597321714,11.0
sdmk12,EDA-TS_no_m,98.54539546578556,44.94502233275597,721.8696536915688,98.1936375723638,2.0
sdmk12,EDA-TS_no_mn,89.39715500451614,1.30944618856131,806.922062416372,51.170226040315185,3.5
sdmk12,EDA-TS_no_n,31.593507087770657,5.727264608430911,43.048307631891845,13.347777838193274,4.5
sdmk13,EDA-TS,11.84148061963985,11.84148061963985,77.46467008016793,23.84373547300517,10.5
sdmk13,EDA-TS_no_m,380.09718679198875,112.58351891686871,2536.6802438997215,171.1888875198465,5.0
sdmk13,EDA-TS_no_mn,563.9643796763207,239.05900883736393,2746.142623286256,207.6040100924722,3.0
sdmk13,EDA-TS_no_n,33.29441895872646,15.08123691933532,225.1225762612479,39.47606292105466,6.0
sdmk14,EDA-TS,6.946221994724903,6.946221994724903,25.350400659581062,3.125617854806242,9.0
sdmk14,EDA-TS_no_m,132.77254987383498,132.77254987383498,724.6475246333879,167.9935435637159,3.0
sdmk14,EDA-TS_no_mn,261.09216828075466,20.940595773353067,995.3237349912268,266.61102129753124,4.0
sdmk14,EDA-TS_no_n,19.144597801991036,19.144597801991036,102.62408176545487,16.504899628351453,5.5
sdmk15,EDA-TS,22.612392129488487,14.629385486516906,21.87563530808535,1.6092627689148937,9.5
sdmk15,EDA-TS_no_m,922.6993185656934,66.86259348315753,3261.497885429892,1034.81605693369,3.5
sdmk15,EDA-TS_no_mn,1133.9235586829827,44.34932991286371,3611.465864950606,1337.942479122196,3.0
sdmk15,EDA-TS_no_n,51.625671908460426,51.625671908460426,113.3816584514476,94.30612211310137,4.0
